,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1461,1886.044236181679,1857.232511921933,1760.9578648700092,1736.7851070877687,1740.131217119213,1755.618545411534,1812.833991469892,1906.7990049629389,1967.2984458742176,2044.6405424986065,2146.5215249692474,2235.6275078944864,2259.69135519709,2227.47844610106,2205.7885139240934,2191.2555455339143,2394.452515635388,2580.36974661831,2539.438369755561,2358.23529033995,2230.739801100734,2114.214864277305,1990.2641237852654,1880.1714711029158
1462,1796.1670005134345,1772.4803900918776,1761.3915638108047,1778.1253020012348,1855.3152209999178,1904.9883562785537,2168.4496963681695,2552.5414557084378,2755.20413896139,2818.4821465127684,2896.9052338375427,2941.0715522429578,2909.472794255768,2880.535799021115,2886.88670151796,2882.47108861213,3003.417696820125,3140.3206601988427,3051.8876101879805,2883.49173581921,2707.5617949185407,2539.2158445113946,2338.2234621854705,2173.4041470544876
1463,2111.9017723753614,2034.4182092883707,2026.7687951289822,2038.3974091915295,2070.5492930896357,2185.519497652309,2410.9240354713015,2725.9164790165105,2902.56036721429,2889.795068963632,2899.1615948293907,2918.8262918528344,2811.8104367567726,2772.941039394622,2695.091807033685,2691.7334897422843,2743.6460777380453,2943.0217140459526,2919.1539241777878,2773.648085641878,2631.4303814528857,2496.0621812805066,2366.547429934252,2189.024151817769
1464,2024.2907156819533,1928.9472630640726,1951.0586229286528,1964.0469486584182,1984.0307754811033,2045.3588342344174,2146.2328830191027,2287.92652539151,2466.075674712673,2518.4486864754717,2620.2708484935692,2587.4720997653917,2536.459054318773,2484.2506205895065,2503.8002955213146,2545.4276512608244,2652.8314664873596,2842.5583798795988,2770.582668671996,2620.371713281661,2490.770179930016,2320.558919684356,2154.6941357596706,2032.1611581937518
1465,1926.3480408456637,1818.5587746180954,1792.1402941610363,1774.7657543976134,1767.9977194108724,1806.440518745614,1909.4249153434034,2069.321411855171,2230.9310327888243,2325.5732107976432,2369.2005510676395,2372.8086202016625,2366.728287279858,2393.3305393058786,2413.8858611483693,2458.110458607654,2643.101534011103,2871.5360718447573,2741.3693745608425,2541.0253542316723,2384.547176865647,2261.1910498083203,2172.186804807695,2127.987689277431
1466,2027.433777671113,1960.0906315041425,1941.4255185817951,1957.4806959382825,1995.4554324806356,2127.7336388123485,2531.8622025188333,2939.4966802324434,3089.1160596781356,3097.4385998587604,3207.775070672057,3155.546942853135,3055.1127468946092,3098.294550437456,3117.4795044113953,3153.1862232654735,3196.0043109699054,3326.3876993928466,3171.3406794512425,3010.2050138415148,2812.236579528772,2611.8036828095915,2415.985825328468,2206.8800617399193
1467,2115.6395545432774,2064.042883460072,2056.3782629039188,2094.1243330534403,2100.700410922792,2191.4540179027836,2478.592896638723,2876.466883629567,3048.840697062733,3025.5645874377274,3067.6414535951176,3004.8195913590025,2950.3339533283233,2983.486728085355,2964.7386343855183,2938.268517897936,3066.85471763661,3300.8104183950054,3183.1974005144957,2984.6704877227526,2800.068149086195,2654.2784117120436,2468.527251335392,2279.68782723641
1468,2216.116722444907,2177.9939875429427,2143.2743963887915,2157.6387877377565,2187.0442353356557,2288.3064206961526,2637.834155825192,3071.187460403611,3199.836443261266,3217.7560606631373,3245.163384779395,3237.889716094544,3152.6829910258225,3155.3787418953198,3092.7249002519584,3027.8795438804013,3057.0823322663937,3249.9729156786016,3113.180811794251,2950.698343996145,2788.4811150973146,2612.088325124085,2434.6503895677542,2230.895507734492
1469,2143.461825147552,2075.0643299881817,2011.1901979478669,2014.0857753460145,2092.816650314485,2239.719921427478,2575.6806182834316,3007.8257610402334,3169.5185210777563,3144.883235452029,3169.697862182211,3187.556006339042,3156.9678896782866,3195.4066284080113,3157.9632942153153,3133.2719071363845,3203.976312379758,3305.102009569012,3139.717349539775,2953.604184441225,2757.2926789429725,2570.1129808878723,2388.936997071524,2198.912729074207
1470,2125.094831762388,2073.2526581940674,2017.7435531714962,1976.2011455303702,2079.995107804717,2214.378439333491,2607.423778778501,3034.864953618789,3169.073149901762,3078.978855222243,3123.1702701950126,3069.3456836417163,2977.8001233140862,2921.2991747434144,2915.327968852032,2925.4635855442193,3036.956734053215,3195.8246156857417,3023.4046431959114,2730.67242362136,2485.704928174173,2287.915805549947,2143.039595298907,2045.1967409224249
